Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Time
68.0,0.7492131868318239,10.854367709133575,0.7239745120871621,10.878957739828564,35.66076252673994,97.7807767274123,36.0,97.5,-18.0,-65.0,0.0
69.0,0.7167358990906008,10.867160852994404,0.7239745120871621,10.878957739828564,35.965704443362014,97.65749404000763,36.0,97.5,-18.0,-65.0,0.015617
70.0,0.6840402866513376,10.879385241571816,0.7020458629600377,10.86931117322959,36.26850599694415,97.53972555270668,36.078431372549005,97.6470588235294,-18.039215686274503,-65.09803921568627,0.0
71.0,0.6511363089143135,10.891037151198633,0.7020458629600377,10.86931117322959,36.569120883082945,97.4275020915397,36.078431372549005,97.6470588235294,-18.039215686274503,-65.09803921568627,0.01561
72.0,0.6180339887498949,10.902113032590307,0.7020458629600377,10.86931117322959,36.86750370579793,97.32085311777364,36.078431372549005,97.6470588235294,-18.039215686274503,-65.09803921568627,0.015561
73.0,0.5847434094454735,10.912609511926071,0.7020458629600377,10.86931117322959,37.16360997520839,97.21980670836732,36.078431372549005,97.6470588235294,-18.039215686274503,-65.09803921568627,21.607849
74.0,0.5512747116339983,10.922523391876638,0.4485618267152427,10.899424437753055,37.45739610499201,97.12438953710753,38.0,97.5,-19.0,-65.0,0.625026
75.0,0.5176380902050415,10.931851652578137,0.4485618267152427,10.899424437753055,37.74881940959545,97.03462685647345,38.0,97.5,-19.0,-65.0,0.015622
76.0,0.48384379119933535,10.940591452551994,0.4485618267152427,10.899424437753055,38.03783810116817,96.95054248027368,38.0,97.5,-19.0,-65.0,0.0
77.0,0.44990210868772984,10.94874012957047,0.4485618267152427,10.899424437753055,38.32441128619063,96.87215876710019,38.0,97.5,-19.0,-65.0,0.015625
78.0,0.4158233816355189,10.956295201467611,0.4485618267152427,10.899424437753055,38.60849896177016,96.79949660463971,38.0,97.5,-19.0,-65.0,0.015626
